"time","tank_id","t_is","h_valve","t_valve"
"2022-10-01 08:20:20+00",96,"15.2",NULL,"0"
"2022-10-01 08:21:26+00",96,"15.3",NULL,"1"
"2022-10-01 08:23:38+00",96,"15.1",NULL,"1"
"2022-10-01 08:24:44+00",96,"15",NULL,"0"
"2022-10-01 08:25:50+00",96,"14.7",NULL,"0"
"2022-10-01 08:25:50+00",96,NULL,1,NULL
"2022-10-01 08:28:02+00",96,"14.8",NULL,"0"
"2022-10-01 08:29:08+00",96,"14.9",NULL,"0"
"2022-10-01 08:30:14+00",96,NULL,0,NULL
"2022-10-01 08:30:14+00",96,"15",NULL,"0"
"2022-10-01 08:31:21+00",96,"15.1",NULL,"0"
"2022-10-01 08:32:27+00",96,"15.2",NULL,"0"
"2022-10-01 08:33:33+00",96,"15.3",NULL,"1"
"2022-10-01 08:35:46+00",96,"15.1",NULL,"1"
"2022-10-01 08:36:52+00",96,"14.9",NULL,"0"
"2022-10-01 08:37:58+00",96,"14.8",NULL,"0"
"2022-10-01 08:40:10+00",96,"14.9",NULL,"0"
"2022-10-01 08:41:16+00",96,"15.1",NULL,"0"
"2022-10-01 08:42:23+00",96,"15.2",NULL,"0"
"2022-10-01 08:43:29+00",96,"15.3",NULL,"1"
"2022-10-01 08:45:41+00",96,"15.2",NULL,"1"
"2022-10-01 08:46:48+00",96,"14.9",NULL,"0"
"2022-10-01 08:47:54+00",96,"14.7",NULL,"0"
